0  0,497834261156221
1  0,497832396365441
2  0,497830528371771
3  0,497828657166971
4  0,497826782742774
5  0,497824905090883
6  0,497823024202974
7  0,497821140070694
8  0,497819252685661
9  0,497817362039464
10  0,497815468123663
11  0,49781357092979
12  0,497811670449347
13  0,497809766673805
14  0,49780785959461
15  0,497805949203173
16  0,49780403549088
17  0,497802118449083
18  0,497800198069107
19  0,497798274342245
20  0,497796347259762
21  0,497794416812891
22  0,497792482992834
23  0,497790545790764
24  0,497788605197821
25  0,497786661205117
26  0,497784713803731
27  0,49778276298471
28  0,497780808739072
29  0,497778851057802
30  0,497776889931854
31  0,49777492535215
32  0,497772957309581
33  0,497770985795004
34  0,497769010799246
35  0,4977670323131
36  0,497765050327328
37  0,497763064832659
38  0,497761075819789
39  0,49775908327938
40  0,497757087202064
41  0,497755087578437
42  0,497753084399063
43  0,497751077654471
44  0,49774906733516
45  0,497747053431592
46  0,497745035934196
47  0,497743014833367
48  0,497740990119467
49  0,49773896178282
50  0,497736929813719
51  0,497734894202423
52  0,497732854939153
53  0,497730812014096
54  0,497728765417406
55  0,4977267151392
56  0,497724661169558
57  0,497722603498528
58  0,49772054211612
59  0,497718477012308
60  0,497716408177031
61  0,49771433560019
62  0,497712259271652
63  0,497710179181246
64  0,497708095318764
65  0,497706007673962
66  0,497703916236558
67  0,497701820996234
68  0,497699721942634
69  0,497697619065364
70  0,497695512353992
71  0,497693401798049
72  0,497691287387028
73  0,497689169110383
74  0,497687046957531
75  0,497684920917848
76  0,497682790980673
77  0,497680657135305
78  0,497678519371006
79  0,497676377676996
80  0,497674232042457
81  0,497672082456531
82  0,49766992890832
83  0,497667771386886
84  0,497665609881251
85  0,497663444380397
86  0,497661274873264
87  0,497659101348753
88  0,497656923795723
89  0,497654742202991
90  0,497652556559335
91  0,497650366853489
92  0,497648173074148
93  0,497645975209962
94  0,49764377324954
95  0,497641567181451
96  0,497639356994218
97  0,497637142676324
98  0,497634924216206
99  0,497632701602262
100  0,497630474822844
101  0,49762824386626
102  0,497626008720777
103  0,497623769374615
104  0,497621525815952
105  0,497619278032921
106  0,49761702601361
107  0,497614769746063
108  0,497612509218279
109  0,497610244418212
110  0,497607975333769
111  0,497605701952814
112  0,497603424263163
113  0,497601142252588
114  0,497598855908812
115  0,497596565219514
116  0,497594270172326
117  0,497591970754832
118  0,49758966695457
119  0,497587358759029
120  0,497585046155653
121  0,497582729131836
122  0,497580407674925
123  0,497578081772219
124  0,497575751410967
125  0,497573416578372
126  0,497571077261585
127  0,49756873344771
128  0,4975663851238
129  0,497564032276861
130  0,497561674893846
131  0,49755931296166
132  0,497556946467156
133  0,497554575397138
134  0,497552199738358
135  0,497549819477518
136  0,497547434601267
137  0,497545045096204
138  0,497542650948876
139  0,497540252145778
140  0,49753784867335
141  0,497535440517984
142  0,497533027666015
143  0,497530610103728
144  0,497528187817352
145  0,497525760793065
146  0,497523329016989
147  0,497520892475193
148  0,497518451153692
149  0,497516005038444
150  0,497513554115355
151  0,497511098370274
152  0,497508637788995
153  0,497506172357257
154  0,497503702060741
155  0,497501226885073
156  0,497498746815824
157  0,497496261838505
158  0,497493771938572
159  0,497491277101423
160  0,497488777312399
161  0,497486272556781
162  0,497483762819794
163  0,497481248086603
164  0,497478728342315
165  0,497476203571977
166  0,497473673760578
167  0,497471138893047
168  0,497468598954251
169  0,497466053928998
170  0,497463503802037
171  0,497460948558053
172  0,497458388181673
173  0,497455822657459
174  0,497453251969914
175  0,497450676103478
176  0,497448095042528
177  0,497445508771378
178  0,497442917274281
179  0,497440320535424
180  0,497437718538932
181  0,497435111268864
182  0,497432498709218
183  0,497429880843925
184  0,49742725765685
185  0,497424629131795
186  0,497421995252496
187  0,49741935600262
188  0,497416711365772
189  0,497414061325487
190  0,497411405865236
191  0,497408744968419
192  0,497406078618371
193  0,497403406798358
194  0,497400729491578
195  0,49739804668116
196  0,497395358350164
197  0,497392664481581
198  0,49738996505833
199  0,497387260063264
200  0,49738454947916
201  0,49738183328873
202  0,497379111474611
203  0,497376384019368
204  0,497373650905497
205  0,497370912115419
206  0,497368167631484
207  0,497365417435968
208  0,497362661511072
209  0,497359899838927
210  0,497357132401587
211  0,497354359181031
212  0,497351580159165
213  0,497348795317818
214  0,497346004638743
215  0,497343208103619
216  0,497340405694047
217  0,497337597391549
218  0,497334783177573
219  0,497331963033487
220  0,497329136940583
221  0,497326304880071
222  0,497323466833086
223  0,497320622780679
224  0,497317772703826
225  0,497314916583419
226  0,49731205440027
227  0,497309186135112
228  0,497306311768594
229  0,497303431281285
230  0,497300544653669
231  0,49729765186615
232  0,497294752899046
233  0,497291847732594
234  0,497288936346944
235  0,497286018722165
236  0,497283094838236
237  0,497280164675055
238  0,497277228212432
239  0,49727428543009
240  0,497271336307666
241  0,49726838082471
242  0,497265418960683
243  0,497262450694958
244  0,49725947600682
245  0,497256494875465
246  0,497253507279997
247  0,497250513199431
248  0,497247512612693
249  0,497244505498615
250  0,497241491835939
251  0,497238471603314
252  0,497235444779297
253  0,497232411342351
254  0,497229371270846
255  0,497226324543058
256  0,497223271137167
257  0,497220211031258
258  0,497217144203322
259  0,497214070631252
260  0,497210990292845
261  0,497207903165798
262  0,497204809227716
263  0,497201708456099
264  0,497198600828352
265  0,49719548632178
266  0,497192364913587
267  0,497189236580876
268  0,497186101300652
269  0,497182959049813
270  0,49717980980516
271  0,497176653543388
272  0,49717349024109
273  0,497170319874754
274  0,497167142420763
275  0,497163957855397
276  0,497160766154829
277  0,497157567295126
278  0,497154361252247
279  0,497151148002044
280  0,497147927520262
281  0,497144699782536
282  0,497141464764393
283  0,497138222441249
284  0,497134972788409
285  0,497131715781068
286  0,497128451394308
287  0,497125179603101
288  0,497121900382303
289  0,497118613706658
290  0,497115319550795
291  0,497112017889228
292  0,497108708696357
293  0,497105391946463
294  0,497102067613711
295  0,49709873567215
296  0,497095396095709
297  0,497092048858199
298  0,49708869393331
299  0,497085331294613
300  0,497081960915558
301  0,497078582769472
302  0,497075196829562
303  0,497071803068909
304  0,497068401460472
305  0,497064991977085
306  0,497061574591458
307  0,497058149276172
308  0,497054716003685
309  0,497051274746325
310  0,497047825476293
311  0,497044368165661
312  0,497040902786371
313  0,497037429310234
314  0,497033947708933
315  0,497030457954014
316  0,497026960016895
317  0,497023453868858
318  0,497019939481052
319  0,49701641682449
320  0,49701288587005
321  0,497009346588474
322  0,497005798950364
323  0,497002242926186
324  0,496998678486267
325  0,496995105600794
326  0,496991524239813
327  0,496987934373227
328  0,496984335970801
329  0,496980729002153
330  0,496977113436758
331  0,496973489243947
332  0,496969856392904
333  0,496966214852667
334  0,496962564592127
335  0,496958905580026
336  0,496955237784958
337  0,496951561175366
338  0,496947875719541
339  0,496944181385625
340  0,496940478141604
341  0,496936765955312
342  0,496933044794428
343  0,496929314626476
344  0,496925575418823
345  0,496921827138679
346  0,496918069753094
347  0,496914303228961
348  0,496910527533011
349  0,496906742631815
350  0,496902948491781
351  0,496899145079153
352  0,496895332360013
353  0,496891510300275
354  0,496887678865689
355  0,496883838021838
356  0,496879987734134
